"","D","L","S","CKMR","SelfP","Type","Value","response"
"1",3,"3",2,"Yes","Yes","Nfad_2015","SE",6842.69
"2",3,"3",2,"No","Yes","Nfad_2015","SE",17027.15
"3",3,"3",2,"Yes","Yes","Nfad_2020","SE",9378.75
"4",3,"3",2,"No","Yes","Nfad_2020","SE",14339.27
"5",3,"3",2,"Yes","Yes","Nfad_2025","SE",13261.55
"6",3,"3",2,"No","Yes","Nfad_2025","SE",20832.75
"7",3,"3",2,"Yes","Yes","fadsurv","SE",0.01
"8",3,"3",2,"No","Yes","fadsurv","SE",0.02
"9",3,"3",2,"Yes","Yes","fjusurv","SE",0.03
"10",3,"3",2,"No","Yes","fjusurv","SE",0.05
"11",3,"3",2,"Yes","Yes","ppn_breedy","SE",0.03
"12",3,"3",2,"No","Yes","ppn_breedy","SE",0.26
"13",3,"3",2,"Yes","Yes","rel_ad_15_25","SE",0.09
"14",3,"3",2,"No","Yes","rel_ad_15_25","SE",0.23
